,Type,Date,Set Time,Title,Amount,Currency,Exchange Rate,Category Group Name,Category,Account,Notes,Labels,Status
109,Expense,2023-02-02 18:38:37,18:38,Milind Bakery,-230.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
110,Expense,2023-02-02 17:13:57,17:13,BMC snacks,-27.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Amit,None
111,Expense,2023-02-02 17:13:49,17:13,BB coffee,-31.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Amit,None
116,Expense,2023-02-01 18:26:23,18:26,Eggs,-78.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
117,Expense,2023-02-01 18:26:16,18:26,Idli batter,-35.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
118,Expense,2023-02-01 18:26:04,18:26,BB coffee,-31.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Amit,None
119,Expense,2023-02-01 09:24:02,09:24,TV Vu GloLED,-38999.0,INR,1.0,Household,HouseholdItems,AmitK CC,,0 Family,None
1,Expense,2023-01-31 20:26:26,20:26,Handbag,-2299.0,INR,1.0,Entertainment,Shopping,Dipti Savings,,0 Dipti,None
2,Expense,2023-01-31 20:26:02,20:26,Parking Phoenix mall,-25.0,INR,1.0,Travel,Parking,Dipti Savings,,0 Dipti,None
3,Expense,2023-01-31 20:25:41,20:25,McDonalds,-298.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Dipti,None
4,Expense,2023-01-31 20:25:19,20:25,Zivame,-1495.0,INR,1.0,Entertainment,Clothing,Dipti Savings,,0 Dipti,None
5,Expense,2023-01-31 20:25:00,20:25,Activa petrol,-501.0,INR,1.0,Travel,Fuel,Dipti Savings,,0 Family,None
6,Expense,2023-01-30 12:41:20,12:41,Moto Edge30,-34999.0,INR,1.0,Others,Gift,AmitK CC,,0 Dipti,None
7,Expense,2023-01-30 07:00:55,07:00,Nyati Cook,-4000.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
9,Expense,2023-01-30 07:00:36,07:00,Nyati Milk,-1600.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
10,Expense,2023-01-30 07:00:24,07:00,Car clenaing,-700.0,INR,1.0,Household,Monthly,Wallet,,0 Family,None
11,Expense,2023-01-30 07:00:16,07:00,Nyati Newspaper,-170.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
12,Expense,2023-01-29 21:26:57,21:26,Ambat God,-75.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Dipti,None
15,Expense,2023-01-29 19:26:44,19:26,Dinner Subway,-1060.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Family,None
16,Expense,2023-01-29 07:55:53,07:55,Nyati Maid 2,-1600.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
17,Expense,2023-01-27 22:25:20,22:25,Dry fruits,-549.0,INR,1.0,Household,Grocery,AmitK CC,,0 Family Health ,None
18,Expense,2023-01-27 22:15:32,22:15,Shampoo etc,-267.0,INR,1.0,Household,HouseholdItems,AmitK Savings,,0 Family,None
