,Type,Date,Set Time,Title,Amount,Currency,Exchange Rate,Category Group Name,Category,Account,Notes,Labels,Status
13,Expense,2022-12-29 19:46:53,19:46,Dinner Barbeque Nation,-612.0,INR,1.0,Entertainment,FoodDelivery,Sodexho,,Mahabaleshwar_Dec22,None
14,Expense,2022-12-29 17:35:21,17:35,Toll Mahabaleshwar return,-110.0,INR,1.0,Travel,Travel,AmitK Savings,,Mahabaleshwar_Dec22,None
15,Expense,2022-12-29 17:34:58,17:34,Lunch Gandharv,-600.0,INR,1.0,Entertainment,Dining Out,Wallet,,Mahabaleshwar_Dec22,None
16,Expense,2022-12-29 17:33:09,17:33,Nana Fadanvis park entry,-200.0,INR,1.0,Travel,Booking,Wallet,,Mahabaleshwar_Dec22,None
17,Expense,2022-12-29 17:32:49,17:32,Temple parking,-30.0,INR,1.0,Travel,Parking,Wallet,,Mahabaleshwar_Dec22,None
18,Expense,2022-12-29 17:32:17,17:32,Milk curd,-66.0,INR,1.0,Household,Grocery,Dipti Savings,,Mahabaleshwar_Dec22,None
19,Expense,2022-12-29 17:31:58,17:31,Leather purse,-630.0,INR,1.0,Entertainment,Shopping,Dipti Savings,,0 Dipti,None
20,Expense,2022-12-29 17:31:41,17:31,Satari pedha,-30.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Dipti,None
21,Expense,2022-12-29 07:55:53,07:55,Nyati Maid 2,-1600.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
22,Expense,2022-12-28 15:04:01,15:04,Lunch Kingberry,-850.0,INR,1.0,Entertainment,Dining Out,Wallet,,Mahabaleshwar_Dec22,None
23,Expense,2022-12-28 15:03:50,15:03,Strawberry,-150.0,INR,1.0,Household,Grocery,Wallet,,Mahabaleshwar_Dec22,None
24,Expense,2022-12-27 22:31:48,22:31,Strawberry,-150.0,INR,1.0,Household,Grocery,Wallet,,Mahabaleshwar_Dec22,None
25,Expense,2022-12-27 18:08:59,18:08,Snacks in cave,-130.0,INR,1.0,Entertainment,Dining Out,Wallet,,Mahabaleshwar_Dec22,None
26,Expense,2022-12-27 18:08:25,18:08,Entry cave 2,-45.0,INR,1.0,Travel,Travel,Wallet,,Mahabaleshwar_Dec22,None
27,Expense,2022-12-27 18:08:12,18:08,Entry cave 1,-45.0,INR,1.0,Travel,Travel,AmitK Savings,,Mahabaleshwar_Dec22,None
28,Expense,2022-12-27 16:00:49,16:00,Kingberry desserts,-410.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,Mahabaleshwar_Dec22,None
29,Expense,2022-12-27 16:00:25,16:00,Lunch Kamat,-917.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,Mahabaleshwar_Dec22,None
30,Expense,2022-12-27 15:59:29,15:59,Horse tip,-300.0,INR,1.0,Travel,Travel,Wallet,,Mahabaleshwar_Dec22,None
31,Expense,2022-12-27 15:59:05,15:59,Horse ride,-5100.0,INR,1.0,Travel,Travel,AmitK Savings,,Mahabaleshwar_Dec22,None
32,Expense,2022-12-27 15:57:53,15:57,Tableland entry,-30.0,INR,1.0,Travel,Parking,Wallet,,Mahabaleshwar_Dec22,None
33,Expense,2022-12-27 15:57:38,15:57,Bathing soaps,-200.0,INR,1.0,Household,HouseholdItems,AmitK CC,,Mahabaleshwar_Dec22,None
34,Expense,2022-12-27 15:57:18,15:57,Kingberry wine,-520.0,INR,1.0,Entertainment,Party,AmitK CC,,Mahabaleshwar_Dec22,None
35,Expense,2022-12-26 17:02:35,17:02,Sugarcane juice,-90.0,INR,1.0,Entertainment,Dining Out,Wallet,,Mahabaleshwar_Dec22,None
36,Expense,2022-12-26 17:02:07,17:02,Snacks,-160.0,INR,1.0,Entertainment,Dining Out,Wallet,,Mahabaleshwar_Dec22,None
37,Expense,2022-12-26 17:01:49,17:01,Temple parking,-20.0,INR,1.0,Travel,Parking,Wallet,,Mahabaleshwar_Dec22,None
38,Expense,2022-12-26 17:01:19,17:01,Strawberry,-90.0,INR,1.0,Entertainment,Dining Out,Wallet,,Mahabaleshwar_Dec22,None
39,Expense,2022-12-26 17:00:35,17:00,Entry 3,-20.0,INR,1.0,Travel,Booking,Wallet,,Mahabaleshwar_Dec22,None
40,Expense,2022-12-26 17:00:25,17:00,Entry 2,-150.0,INR,1.0,Travel,Booking,Wallet,,Mahabaleshwar_Dec22,None
41,Expense,2022-12-26 17:00:05,17:00,Entry 1,-100.0,INR,1.0,Travel,Booking,Wallet,,Mahabaleshwar_Dec22,None
42,Expense,2022-12-26 16:59:18,16:59,Dipti purse,-30.0,INR,1.0,Entertainment,Shopping,Dipti Savings,,Mahabaleshwar_Dec22,None
43,Expense,2022-12-26 16:56:21,16:56,Toll Mahabaleshwar,-110.0,INR,1.0,Travel,Travel,AmitK Savings,,Mahabaleshwar_Dec22,None
44,Expense,2022-12-26 16:55:00,16:55,Breakfast Oscarwadi Misal,-380.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,Mahabaleshwar_Dec22,None
45,Expense,2022-12-26 16:54:34,16:54,Lunch Mapro,-1343.0,INR,1.0,Entertainment,Dining Out,AmitK CC,,Mahabaleshwar_Dec22,None
46,Expense,2022-12-26 07:55:18,07:55,Nyati Electricity bill,-1710.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
47,Expense,2022-12-25 20:03:51,20:03,Xmas food stall,-190.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Family,None
48,Expense,2022-12-25 17:02:50,17:02,Misc shopping,-110.0,INR,1.0,Entertainment,Shopping,Dipti Savings,,0 Dipti,None
49,Expense,2022-12-25 12:43:36,12:43,Petrol,-3231.0,INR,1.0,Travel,Fuel,AmitK CC,,0 Family,None
50,Expense,2022-12-24 19:30:12,19:30,Pani puri,-20.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Dipti,None
51,Expense,2022-12-24 19:30:02,19:30,Beer,-640.0,INR,1.0,Entertainment,Party,Dipti Savings,,0 Amit 0 Dipti,None
52,Expense,2022-12-24 19:29:39,19:29,Chinese dinner,-270.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Family,None
53,Expense,2022-12-24 17:18:10,17:18,Nyati gym chatges,-2360.0,INR,1.0,Entertainment,Exercise,AmitK Savings,,0 Family,None
54,Expense,2022-12-24 13:37:38,13:37,CakeZone,-773.0,INR,1.0,Entertainment,FoodDelivery,Sodexho,,0 Family,None
55,Expense,2022-12-24 13:28:44,13:28,Lunch Nothing But Chicken,-567.0,INR,1.0,Entertainment,FoodDelivery,Sodexho,,0 Adi 0 Amit,None
56,Expense,2022-12-24 11:55:10,11:55,Grocery Navaratna,-245.0,INR,1.0,Household,Grocery,AmitK Savings,,Mahabaleshwar_Dec22,None
57,Expense,2022-12-24 11:55:02,11:55,Amit Saloon,-250.0,INR,1.0,Household,Maintenance,AmitK Savings,,0 Amit,None
58,Expense,2022-12-24 11:54:54,11:54,Adi saloon,-100.0,INR,1.0,Household,Maintenance,AmitK Savings,,0 Adi,None
61,Expense,2022-12-23 22:21:29,22:21,Auto Nyati,-199.0,INR,1.0,Travel,Cab,AmitK Savings,,0 Family,None
62,Expense,2022-12-23 22:21:12,22:21,Kharvas,-40.0,INR,1.0,Entertainment,Dining Out,Wallet,,0 Adi 0 Dipti,None
63,Expense,2022-12-23 22:20:24,22:20,Z bridge food court,-350.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Family,None
64,Expense,2022-12-23 22:20:02,22:20,Snacks Balgandharva,-120.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Family,None
65,Expense,2022-12-23 19:30:18,19:30,Begger,-20.0,INR,1.0,Household,Donation,Wallet,,0 Family,None
66,Expense,2022-12-23 17:12:54,17:12,Auto Balgandharva,-198.0,INR,1.0,Travel,Cab,AmitK Savings,,0 Family,None
67,Expense,2022-12-23 13:21:34,13:21,Marathi Play Vacuum Cleaner,-1609.0,INR,1.0,Entertainment,Movies,AmitK CC,,0 Family,None
68,Expense,2022-12-23 11:49:12,11:49,Dentist visit2,-10700.0,INR,1.0,Household,Medicines,Dipti Savings,,0 Dipti,None
69,Expense,2022-12-22 19:45:23,19:45,BB coffee,-20.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Amit,None
70,Expense,2022-12-22 19:45:12,19:45,Activa petrol,-430.0,INR,1.0,Travel,Fuel,AmitK CC,,0 Family,None
71,Expense,2022-12-21 20:52:30,20:52,DD medicine,-230.0,INR,1.0,Household,Medicines,Dipti Savings,,0 Dipti,None
72,Expense,2022-12-21 20:52:19,20:52,Courier,-100.0,INR,1.0,Household,HouseholdItems,Dipti Savings,,0 Dipti,None
73,Expense,2022-12-21 20:52:06,20:52,Print outs,-10.0,INR,1.0,Household,School,Dipti Savings,,0 Dipti,None
74,Expense,2022-12-21 11:49:24,11:49,Dentist visit3,-2200.0,INR,1.0,Household,Medicines,Dipti Savings,,0 Dipti,None
75,Expense,2022-12-21 11:47:51,11:47,Stationary,-50.0,INR,1.0,Household,School,Dipti Savings,,0 Dipti,None
76,Expense,2022-12-21 11:47:45,11:47,Veggies,-100.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
77,Expense,2022-12-21 11:47:38,11:47,Grocery,-100.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
78,Expense,2022-12-20 17:25:41,17:25,Dinner Chinese Wok,-322.0,INR,1.0,Entertainment,FoodDelivery,Sodexho,,0 Family,None
79,Expense,2022-12-20 14:21:22,14:21,Dentist visit1,-10000.0,INR,1.0,Household,Medicines,Dipti Savings,,0 Dipti,None
80,Expense,2022-12-20 14:21:06,14:21,Milind Bakery,-25.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
81,Expense,2022-12-20 14:20:23,14:20,NIC,-507.0,INR,1.0,Entertainment,FoodDelivery,Sodexho,,0 Family,None
82,Expense,2022-12-19 07:00:53,07:00,Airtel Black charges,-1296.0,INR,1.0,Household,Monthly,AmitK CC,,0 Family,None
83,Expense,2022-12-18 12:08:08,12:08,Fruits,-130.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
84,Expense,2022-12-18 12:08:07,12:08,Veggies,-160.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
85,Expense,2022-12-18 12:08:06,12:08,Chaat,-60.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Family,None
86,Expense,2022-12-18 12:08:05,12:08,Pani puri,-20.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Dipti,None
87,Expense,2022-12-18 12:08:04,12:08,Chinese starters,-170.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Amit,None
88,Expense,2022-12-17 21:17:31,21:17,Dinner Vishranti,-943.0,INR,1.0,Entertainment,FoodDelivery,AmitK Savings,,0 Family,None
89,Expense,2022-12-17 14:02:55,14:02,Grocery,-40.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
90,Expense,2022-12-17 14:02:48,14:02,Cosmetics,-40.0,INR,1.0,Entertainment,Shopping,Dipti Savings,,0 Dipti,None
91,Expense,2022-12-17 12:29:57,12:29,Cooking pot,-280.0,INR,1.0,Household,HouseholdItems,Dipti Savings,,0 Family,None
92,Expense,2022-12-17 12:29:36,12:29,Sri Sai Vada Paav,-30.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Family,None
93,Expense,2022-12-17 12:29:24,12:29,Kachchi Dabeli,-45.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Family,None
94,Expense,2022-12-17 12:29:17,12:29,Grocery Goyal,-108.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
95,Expense,2022-12-16 18:55:46,18:55,Sri Sai Vada Paav,-27.0,INR,1.0,Entertainment,FoodDelivery,AmitK Savings,,0 Family,None
96,Expense,2022-12-16 18:20:58,18:20,Aata,-55.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
97,Expense,2022-12-16 18:20:45,18:20,Garg Pedhi,-288.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
98,Expense,2022-12-16 15:43:02,15:43,DD shopping,-1741.0,INR,1.0,Entertainment,Clothing,Dipti Savings,,0 Dipti,None
99,Expense,2022-12-16 13:25:04,13:25,Jumpsuit,-489.0,INR,1.0,Entertainment,Clothing,Sodexho,,0 Dipti,None
100,Expense,2022-12-16 12:09:37,12:09,Eggs,-76.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
101,Expense,2022-12-16 12:09:29,12:09,Veggies,-70.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family Health ,None
104,Expense,2022-12-15 16:57:34,16:57,Licious Chicken,-521.0,INR,1.0,Household,Grocery,AmitK CC,,0 Adi 0 Amit,None
106,Expense,2022-12-14 22:48:30,22:48,Idli batter,-35.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
107,Expense,2022-12-12 18:49:19,18:49,Milind Bakery,-557.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
108,Expense,2022-12-12 18:49:09,18:49,Sri Sai Vada Paav,-125.0,INR,1.0,Entertainment,FoodDelivery,AmitK Savings,,0 Family,None
109,Expense,2022-12-12 18:48:41,18:48,Veggies,-170.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family Health ,None
110,Expense,2022-12-11 11:57:23,11:57,Rajusheth Misal,-685.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Family,None
111,Expense,2022-12-11 11:57:01,11:57,Veggies,-100.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
112,Expense,2022-12-10 22:59:28,22:59,Dinner Chaitanya,-775.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Family,None
113,Expense,2022-12-10 22:59:15,22:59,Chaat,-100.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Family,None
114,Expense,2022-12-10 22:58:47,22:58,Sri Sai Vada Paav,-120.0,INR,1.0,Entertainment,FoodDelivery,AmitK Savings,,0 Family,None
115,Expense,2022-12-09 22:54:54,22:54,Medicines,-221.0,INR,1.0,Household,Medicines,AmitK Savings,,0 Amit 0 Dipti,None
116,Expense,2022-12-09 12:08:38,12:08,Veggies,-100.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
117,Expense,2022-12-09 12:08:28,12:08,Banana,-40.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
118,Expense,2022-12-09 12:08:19,12:08,Flowers,-20.0,INR,1.0,Household,HouseholdItems,Dipti Savings,,0 Family,None
119,Expense,2022-12-09 12:08:03,12:08,Activa puncture,-160.0,INR,1.0,Travel,Maintenance,Dipti Savings,,0 Family,None
120,Expense,2022-12-09 12:07:51,12:07,Activa petrol,-300.0,INR,1.0,Travel,Fuel,Dipti Savings,,0 Family,None
121,Expense,2022-12-09 11:55:42,11:55,Exotic Valley part1,-8000.0,INR,1.0,Travel,Booking,AmitK Savings,,Mahabaleshwar_Dec22,None
122,Expense,2022-12-09 11:48:57,11:48,Garg Pedhi,-847.0,INR,1.0,Household,Grocery,Sodexho,,0 Family,None
125,Expense,2022-12-08 20:32:45,20:32,Others,0.0,INR,1.0,Household,HouseholdItems,AmitK Savings,,,None
126,Expense,2022-12-08 19:21:47,19:21,Plants from nursery,-80.0,INR,1.0,Household,HouseholdItems,AmitK Savings,,0 Family,None
127,Expense,2022-12-08 19:21:25,19:21,Medicines,-138.0,INR,1.0,Household,Medicines,AmitK Savings,,0 Amit 0 Dipti,None
128,Expense,2022-12-08 13:53:50,13:53,BB lunch,-135.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Amit,None
129,Expense,2022-12-08 13:53:40,13:53,BB coffee,-20.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Amit,None
130,Expense,2022-12-07 19:21:07,19:21,Baby wipes,-48.0,INR,1.0,Entertainment,Shopping,AmitK Savings,,0 Family,None
131,Expense,2022-12-06 12:43:10,12:43,Steel shop,-55.0,INR,1.0,Household,HouseholdItems,Dipti Savings,,0 Family,None
132,Expense,2022-12-06 12:42:44,12:42,Crazy ball,-80.0,INR,1.0,Household,HouseholdItems,Dipti Savings,,0 Family,None
134,Expense,2022-12-06 12:42:09,12:42,Saloon DD,-500.0,INR,1.0,Household,Maintenance,Dipti Savings,,0 Dipti,None
135,Expense,2022-12-06 12:41:51,12:41,Hair clip,-65.0,INR,1.0,Entertainment,Shopping,Dipti Savings,,0 Dipti,None
136,Expense,2022-12-06 12:41:37,12:41,Aata making,-14.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
137,Expense,2022-12-06 12:41:27,12:41,Wheat,-80.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
138,Expense,2022-12-06 12:41:17,12:41,Veggies,-60.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
139,Expense,2022-12-06 11:09:34,11:09,Mysorepa,-105.0,INR,1.0,Household,Grocery,AmitK Savings,,Campus,None
142,Expense,2022-12-05 22:20:42,22:20,Auto Mariott,-100.0,INR,1.0,Travel,Cab,Wallet,,Campus,None
143,Expense,2022-12-05 22:20:27,22:20,Crab Lollipop,-89.0,INR,1.0,Entertainment,FoodDelivery,AmitK Savings,,Campus,None
144,Expense,2022-12-05 22:19:59,22:19,Dinner Mariott,-1886.0,INR,1.0,Entertainment,FoodDelivery,AmitK CC,,Campus,None
145,Expense,2022-12-05 07:00:17,07:00,Renuga pipe gas bill,-615.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
146,Expense,2022-12-04 22:16:14,22:16,Grocery Goyal,-115.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
147,Expense,2022-12-04 22:15:59,22:15,Paneer,-80.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
148,Expense,2022-12-04 22:15:50,22:15,Pani puri,-40.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Dipti,None
149,Expense,2022-12-04 22:15:34,22:15,Kachchi Dabeli,-40.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Dipti,None
150,Expense,2022-12-04 22:15:18,22:15,Adi shoes,-980.0,INR,1.0,Entertainment,Shopping,Dipti Savings,,0 Adi,None
151,Expense,2022-12-04 15:58:32,15:58,Island Bar HYD,-635.0,INR,1.0,Entertainment,Party,AmitK CC,,Campus,None
152,Expense,2022-12-04 15:57:34,15:57,Lunch Mariott,-4715.0,INR,1.0,Entertainment,Dining Out,AmitK CC,,Campus,None
153,Expense,2022-12-04 15:56:59,15:56,BigBasket,-781.0,INR,1.0,Household,Grocery,Sodexho,,0 Family,None
154,Expense,2022-12-04 07:12:44,07:12,Weekly salad,-500.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Dipti,None
155,Expense,2022-12-04 07:12:43,07:12,Badminton racket,-300.0,INR,1.0,Entertainment,Exercise,Dipti Savings,,0 Family Health ,None
156,Expense,2022-12-04 07:00:51,07:00,Netflix recharge,-162.0,INR,1.0,Entertainment,Movies,AmitK CC,,0 Family,None
157,Expense,2022-12-03 10:17:35,10:17,Milk,-27.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
158,Expense,2022-12-03 10:17:27,10:17,Grocery,-505.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
159,Expense,2022-12-03 10:17:20,10:17,Veggies,-80.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family Health ,None
160,Expense,2022-12-03 10:16:54,10:16,Balaji Sponge Dosa,-150.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Family,None
162,Expense,2022-12-02 11:26:09,11:26,Blood test,-950.0,INR,1.0,Household,Medicines,AmitK CC,,0 Dipti,None
163,Expense,2022-12-02 11:25:56,11:25,Blood test,-950.0,INR,1.0,Household,Medicines,AmitK CC,,0 Amit,None
167,Expense,2022-12-01 21:25:55,21:25,Lunch Health Kitchen,-404.0,INR,1.0,Entertainment,FoodDelivery,AmitK Savings,,0 Amit 0 Dipti,None
168,Expense,2022-12-01 17:23:37,17:23,Grocery Goyal,-232.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
169,Expense,2022-12-01 17:23:29,17:23,Print outs,-10.0,INR,1.0,Household,School,AmitK Savings,,0 Adi,None
0,Expense,2023-04-30 17:44:17,17:44,Lunch Vishranti,-1200.0,INR,1.0,Entertainment,Dining Out,Wallet,,0 Adi 0 Amit,None
1,Expense,2023-04-30 07:00:55,07:00,Nyati Cook,-4000.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
2,Expense,2023-04-30 07:00:36,07:00,Nyati Milk,-1600.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
3,Expense,2023-04-30 07:00:24,07:00,Car clenaing,-700.0,INR,1.0,Household,Monthly,Wallet,,0 Family,None
4,Expense,2023-04-30 07:00:16,07:00,Nyati Newspaper,-180.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
5,Expense,2023-04-29 16:51:50,16:51,Saraswat locker charges,-1534.0,INR,1.0,Household,Maintenance,Dipti Savings,,0 Family,None
6,Expense,2023-04-29 16:51:31,16:51,Parking Phoenix mall,-50.0,INR,1.0,Travel,Parking,Wallet,,0 Family,None
7,Expense,2023-04-29 16:50:58,16:50,MacD Softy,-50.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Amit 0 Dipti,None
8,Expense,2023-04-29 16:50:40,16:50,Mad Over Donut,-729.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Family,None
9,Expense,2023-04-29 12:04:42,12:04,Kaachi Biscuit,-100.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
10,Expense,2023-04-29 12:03:58,12:03,Tea,-40.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Dipti,None
11,Expense,2023-04-29 12:03:25,12:03,Jogeshwari Misal,-345.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Family,None
12,Expense,2023-04-29 07:55:53,07:55,Nyati Maid 2,-1600.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
13,Expense,2023-04-28 13:39:45,13:39,Nyka shopping,-187.0,INR,1.0,Entertainment,Shopping,Dipti Savings,,0 Dipti,None
14,Expense,2023-04-28 13:39:30,13:39,Veggies,-140.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
15,Expense,2023-04-27 21:08:44,21:08,Cake Chandrakanta,-700.0,INR,1.0,Entertainment,FoodDelivery,AmitK Savings,,0 Family,None
16,Expense,2023-04-27 15:17:28,15:17,Zomato Gold,-249.0,INR,1.0,Household,HouseholdItems,AmitK CC,,0 Family,None
17,Expense,2023-04-27 14:29:50,14:29,Dentist work,-25700.0,INR,1.0,Household,Medicines,Dipti Savings,,0 Dipti,None
18,Expense,2023-04-27 14:29:37,14:29,Medicines,-328.0,INR,1.0,Household,Medicines,Dipti Savings,,0 Dipti,None
19,Expense,2023-04-27 11:08:38,11:08,Toothbrush,-219.0,INR,1.0,Household,Maintenance,AmitK Savings,,0 Family,None
20,Expense,2023-04-27 09:06:33,09:06,Cosmetics,-536.0,INR,1.0,Entertainment,Shopping,Dipti Savings,,0 Dipti,None
21,Expense,2023-04-26 20:28:31,20:28,Airtel data,-29.0,INR,1.0,Household,Maintenance,AmitK CC,,0 Adi,None
22,Expense,2023-04-26 15:15:08,15:15,Lunch Teri Rajput,-475.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Family,None
23,Expense,2023-04-26 15:14:58,15:14,Curd,-30.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
24,Expense,2023-04-26 15:14:39,15:14,Cookies,-160.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
25,Expense,2023-04-26 15:14:11,15:14,Dental scan CBCT,-2000.0,INR,1.0,Household,Medicines,Dipti Savings,,0 Dipti,None
26,Expense,2023-04-26 07:55:18,07:55,Nyati Electricity bill,-1440.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
27,Expense,2023-04-25 21:02:54,21:02,Veggies,-160.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
28,Expense,2023-04-25 21:02:48,21:02,Eggs,-60.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
29,Expense,2023-04-25 17:24:50,17:24,BB snacks,-39.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Amit,None
30,Expense,2023-04-25 11:47:56,11:47,BB coffee,-40.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Amit,None
33,Expense,2023-04-23 13:12:03,13:12,Rajusheth Misal,-530.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Family,None
34,Expense,2023-04-23 10:19:46,10:19,Idli batter,-35.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
35,Expense,2023-04-23 10:19:35,10:19,Paneer,-180.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
36,Expense,2023-04-23 10:19:29,10:19,Veggies,-160.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
37,Expense,2023-04-22 11:20:03,11:20,Cold drinks,-78.0,INR,1.0,Entertainment,Party,AmitK Savings,,0 Family,None
38,Expense,2023-04-22 11:19:36,11:19,Breakfast Dosa,-140.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Family,None
39,Expense,2023-04-22 10:19:53,10:19,Dinner Vishranti,-1071.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Family,None
40,Expense,2023-04-21 21:51:24,21:51,Ironing,-60.0,INR,1.0,Household,Maintenance,AmitK Savings,,0 Dipti,None
41,Expense,2023-04-21 15:04:00,15:04,Help Firoz for Eid,-5000.0,INR,1.0,Others,Gift,AmitK Savings,,Donation,None
43,Expense,2023-04-21 11:19:37,11:19,Milind Bakery,-170.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
44,Expense,2023-04-21 11:19:36,11:19,Gift Siya,-275.0,INR,1.0,Others,Gift,Dipti Savings,,0 Family,None
45,Expense,2023-04-21 11:19:35,11:19,Beer,-1240.0,INR,1.0,Entertainment,Party,Dipti Savings,,0 Amit 0 Dipti,None
46,Expense,2023-04-21 11:19:34,11:19,Gift contri,-129.0,INR,1.0,Others,Gift,Dipti Savings,,0 Family,None
47,Expense,2023-04-19 18:11:38,18:11,Paav and bun,-40.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
48,Expense,2023-04-19 18:11:28,18:11,Reddy vada paav,-59.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Family,None
49,Expense,2023-04-19 18:11:19,18:11,Altering,-40.0,INR,1.0,Entertainment,Shopping,Dipti Savings,,0 Dipti,None
50,Expense,2023-04-19 12:06:24,12:06,Rajusheth Misal,-560.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Family,None
51,Expense,2023-04-19 07:00:53,07:00,Airtel Black charges,-1706.0,INR,1.0,Household,Monthly,AmitK CC,,0 Family,None
52,Expense,2023-04-18 18:14:55,18:14,Gajara,-30.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Dipti,None
53,Expense,2023-04-18 18:14:54,18:14,Veggies,-210.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
54,Expense,2023-04-18 18:14:53,18:14,Auto,-250.0,INR,1.0,Travel,Cab,Dipti Savings,,0 Family,None
55,Expense,2023-04-18 18:14:52,18:14,Silver work,-275.0,INR,1.0,Household,HouseholdItems,Dipti Savings,,0 Family,None
56,Expense,2023-04-18 18:14:51,18:14,Talshi baag shopping,-150.0,INR,1.0,Entertainment,Shopping,Dipti Savings,,0 Dipti,None
