url, team1, team2, win_toss, bat_or_bowl, outcome, win_game, date, day_n_night, ground, rain, duckworth_lewis, match_id, type_of_match
"./espncricinfo-fc/1384408.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384396.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1403751.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1336130.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1403750.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1403685.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1395702.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1403693.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384397.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1389390.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1403684.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1392350.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1375868.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384409.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1402552.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384399.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384410.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384401.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1402551.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384406.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384402.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384413.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384403.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384405.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384395.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1392348.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1375866.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384404.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384412.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1375867.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1392349.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384400.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384392.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384411.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384393.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384407.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1403752.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1403683.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384398.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
"./espncricinfo-fc/1384394.html","","","","","","","Today&#x27;s Cricket Match ","0","","0","0","","FC"
